Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
354,25,57.4,4.96,27.77,7.93,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,2.07,1433
355,25,56.21,4.98,29.88,7.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,1.88,1432
356,25,55,5,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.72,1425
357,25,59.76,6.89,21.65,7.87,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,2.76,1393
358,25,58.59,8.89,21.73,7.9,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,2.7,1425
359,25,57.4,10.91,21.82,7.93,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,1437
360,25,56.21,12.95,21.91,7.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,2.57,1437
361,25,55,15,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,2.5,1455
362,25,59.76,4.92,21.65,7.87,0,3.84,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,12.15,2.76,1358
363,25,58.59,4.94,21.73,7.9,0,2.88,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,11.86,2.7,1319
364,25,57.4,4.96,21.82,7.93,0,1.93,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,11.57,2.63,1311
365,25,56.21,4.98,21.91,7.97,0,0.97,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,11.29,2.57,1290
366,25,55,5,22,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,2.5,1288
367,25,41.64,41.64,4.4,0,5.41,6.01,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.46,1140
368,25,26.67,7.89,27.67,0,5,11.89,4,4,0,0,0,0,12.89,0,0,0,0,0,0,0,3.38,0.96,1172
369,25,36,0,34,0,0,8,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1.06,1087
370,25,32,0,34,0,0,8,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0.94,1096
371,25,28,0,34,0,0,8,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0.82,1114
372,25,24,0,34,0,0,8,8,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0.71,1119
373,25,28,0,30,0,0,8,8,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0.93,1114
374,25,32,0,26,0,0,8,8,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1.23,1080
375,25,39.21,33.22,7.23,1.76,10.72,7.3,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,1.18,5.42,1105
376,25,48.15,27.52,1.92,2.87,5.75,10.06,2.3,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.75,25.08,1058
377,25,46.94,26.82,3.83,2.87,5.75,10.06,2.3,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.75,12.26,1068
378,25,45.72,26.13,5.75,2.87,5.75,10.06,2.3,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.75,7.95,1077
379,25,44.5,25.43,7.66,2.87,5.75,10.06,2.3,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.75,5.81,1090
380,10,42.86,4.76,42.86,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,9,1,1321
381,10,40.91,4.55,40.91,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,8.99,1,1305
382,10,39.13,4.35,39.13,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,9,1,1304
383,10,37.5,4.17,37.5,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.99,1,1301
384,10,39.5,0,39.5,0,10,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1260
385,10,40.04,0,37.2,0,9.92,1.93,2.98,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,1237
386,10,40.57,0,34.93,0,9.84,3.84,2.95,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1224
387,10,41.1,0,32.69,0,9.76,5.71,2.93,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,1218
388,10,38.61,3.94,32.96,0,9.84,3.84,2.95,7.87,0,0,0,0,0,0,0,0,0,0,0,0,9.8,1.17,1189
389,10,36.64,7.87,30.99,0,9.84,3.84,2.95,7.87,0,0,0,0,0,0,0,0,0,0,0,0,4.66,1.18,1129
390,10,34.67,11.81,29.02,0,9.84,3.84,2.95,7.87,0,0,0,0,0,0,0,0,0,0,0,0,2.94,1.19,1117
391,10,32.7,3.94,32.96,0,9.84,3.84,2.95,7.87,0,0,0,0,5.9,0,0,0,0,0,0,0,8.3,0.99,1171
392,10,26.8,3.94,32.96,0,9.84,3.84,2.95,7.87,0,0,0,0,11.81,0,0,0,0,0,0,0,6.8,0.81,1148
393,10,20.9,3.94,32.96,0,9.84,3.84,2.95,7.87,0,0,0,0,17.71,0,0,0,0,0,0,0,5.3,0.63,1145
394,25,28.95,35.5,7.82,2.93,7.82,5.24,0,0,0,0,0,7.82,3.91,0,0,0,0,0,0,0,0.82,3.7,1111
395,25,36.08,28.36,7.82,2.93,7.82,5.24,0,0,0,0,0,7.82,3.91,0,0,0,0,0,0,0,1.27,4.61,1136
396,25,38.63,25.82,7.82,2.93,7.82,5.24,0,0,0,0,0,7.82,3.91,0,0,0,0,0,0,0,1.5,4.94,1161
397,25,33.15,35.2,0,2.93,7.82,5.24,0,0,0,0,0,11.73,3.91,0,0,0,0,0,0,0,0.94,0,1095
398,25,33.15,31.29,3.91,2.93,7.82,5.24,0,0,0,0,0,11.73,3.91,0,0,0,0,0,0,0,1.06,8.48,1100
